ROUTE ID,DIRECTION,TRIP ID,TRAIN ID,UNIX DATETIME,DATE TIME,STOP ID,STOP NAME,UPDATE TYPE
Q,N,064550_Q..N16R,1Q 1045+ STL/962,1709050524,2024-02-27 11:15:24,D25N,7 Av,4
Q,N,066950_Q..N16R,1Q 1109+ STL/962,1709050560,2024-02-27 11:16:00,D39N,Sheepshead Bay,4
Q,N,062100_Q..N16R,1Q 1021 STL/962,1709050561,2024-02-27 11:16:01,R14N,57 St - 7 Av,4
Q,N,065100_Q..N16R,1Q 1051 STL/962,1709050582,2024-02-27 11:16:22,D27N,Parkside Av,4
Q,N,067750_Q..N16R,1Q 1117+ STL/962,1709050620,2024-02-27 11:17:00,D43N,Coney Island - Stillwell Av,4
Q,N,066100_Q..N16R,1Q 1101 STL/962,1709050620,2024-02-27 11:17:00,D34N,Avenue M,4
Q,N,066950_Q..N16R,1Q 1109+ STL/962,1709050640,2024-02-27 11:17:20,D38N,Neck Rd,4
Q,N,064550_Q..N16R,1Q 1045+ STL/962,1709050642,2024-02-27 11:17:22,D24N,Atlantic Av - Barclays Ctr,4
Q,N,067750_Q..N16R,1Q 1117+ STL/962,1709050646,2024-02-27 11:17:26,D42N,W 8 St - NY Aquarium,4
Q,N,062950_Q..N16R,1Q 1029+ STL/962,1709050652,2024-02-27 11:17:32,R17N,34 St - Herald Sq,4
Q,N,065100_Q..N16R,1Q 1051 STL/962,1709050655,2024-02-27 11:17:35,D26N,Prospect Park,4
Q,N,066100_Q..N16R,1Q 1101 STL/962,1709050712,2024-02-27 11:18:32,D33N,Avenue J,4
Q,N,066950_Q..N16R,1Q 1109+ STL/962,1709050715,2024-02-27 11:18:35,D37N,Avenue U,4
Q,N,062100_Q..N16R,1Q 1021 STL/962,1709050752,2024-02-27 11:19:12,B08N,Lexington Av/63 St,4
Q,N,062950_Q..N16R,1Q 1029+ STL/962,1709050762,2024-02-27 11:19:22,R16N,Times Sq - 42 St,4
Q,N,064550_Q..N16R,1Q 1045+ STL/962,1709050775,2024-02-27 11:19:35,R30N,DeKalb Av,4
Q,N,067750_Q..N16R,1Q 1117+ STL/962,1709050775,2024-02-27 11:19:35,D41N,Ocean Pkwy,4
Q,N,066100_Q..N16R,1Q 1101 STL/962,1709050822,2024-02-27 11:20:22,D32N,Avenue H,4
Q,N,065100_Q..N16R,1Q 1051 STL/962,1709050823,2024-02-27 11:20:23,D25N,7 Av,4
Q,N,063750_Q..N16R,1Q 1037+ STL/962,1709050835,2024-02-27 11:20:35,Q01N,Canal St,4
Q,N,062100_Q..N16R,1Q 1021 STL/962,1709050860,2024-02-27 11:21:00,Q03N,72 St,4
Q,N,066950_Q..N16R,1Q 1109+ STL/962,1709050872,2024-02-27 11:21:12,D35N,Kings Hwy,4
